,cycle,cpd01080,cpd00264,cpd00161,cpd00149,cpd00011,cpd00063,cpd00205,cpd00035,cpd00276,cpd00041,cpd00064,cpd00069,cpd00132,cpd00239,cpd00092,cpd00058,cpd00030,cpd00027,cpd04450,cpd00001,cpd00033,cpd00156,cpd00138,cpd00254,cpd00029,cpd00067,cpd00051,cpd15378,cpd00039,cpd00116,cpd00012,cpd00244,cpd01034,cpd00023,cpd00034,cpd10516,cpd00971,cpd00020,cpd10515,cpd04383,cpd00066,cpd00128,cpd00226,cpd00084,cpd00438,cpd00129,cpd00106,cpd00644,cpd00013,cpd00220,cpd01024,cpd01007,cpd00528,cpd00099,cpd00053,cpd00009,cpd00118,cpd00322,cpd00047,cpd00107,cpd00131,cpd00229,cpd00060,cpd00054,cpd00082,cpd00119,cpd00218,cpd00048,cpd00065
27,67,0.7271153,1.865330965,1.853926386,2499.989376,8.37001066,2499.989376,2499.989393,1.124508916,0.94739493,2.599903746,0.0,3.99010331,1.008198345,2509.092363,0.0,2499.989839,2499.989818,0.936926367,14.97821179,2632.642875,3.614305542,3.433851932,0.0,2499.989376,12.97337279,9738.152094,2.951383716,0.001208006,3.022664238,41.7706714,1.061603035,2499.999557,66.63856722,0.562669018,2499.989836,2499.989824,2500,0.084995056,2499.968125,29.87104289,4.358755637,0.0,1.845288772,4.23556363,0.0,0.852407325,1.607067698,0.009348495,500008.7324,0.0,9.037724707,183.9057138,2498.172829,2499.989375,0.556576347,499995.747,1.149563084,6.920689782,0.000158,4.577773391,2499.999557,0.001672812,0.224848754,4.415427678,0.0,3.126252965,3.17e-06,2494.620692,4.262771362
28,68,0.774496812,1.927974286,1.799723587,2499.988878,8.486443641,2499.988878,2499.988895,1.092714875,0.954910317,2.527217789,0.0,4.093252754,0.946318705,2509.438386,0.0,2499.989368,2499.989347,0.887113485,14.9598144,2639.178253,3.573850891,3.525537101,0.0,2499.988878,12.8574556,9727.574294,3.023247574,0.001238843,3.034040862,41.99979912,1.070735411,2499.99953,66.60524529,0.521665309,2499.989366,2499.989356,2500,0.080306751,2499.966626,29.83772095,4.468382586,0.0,1.944095354,4.345760432,0.0,0.858152428,1.702909424,0.009570021,500009.2402,0.0,9.527519662,183.836246,2498.041349,2499.988876,0.518673449,499995.6191,1.149436692,7.209215999,0.000149,4.661130373,2499.99953,0.001717877,0.239598201,4.47289758,0.0,3.205541845,3e-06,2494.354706,4.375464112
29,69,0.820268571,1.98602103,1.727891364,2499.988372,8.593131953,2499.988372,2499.988391,1.059303269,0.965727271,2.445963964,0.0,4.195280009,0.882558854,2509.790853,0.0,2499.988892,2499.988869,0.834209842,14.94204773,2645.868402,3.529239463,3.615251255,0.0,2499.988372,12.73648349,9716.710609,3.095444456,0.001268464,3.038398521,42.20916715,1.080412232,2499.999502,66.57305909,0.4832642,2499.988889,2499.988882,2500,0.075619756,2499.965108,29.80553475,4.577040789,0.0,2.039996989,4.455000002,0.0,0.863863053,1.79706536,0.009776579,500009.7712,0.0,10.02730604,183.7711444,2497.905054,2499.988371,0.482945844,499995.4881,1.149306056,7.512804114,0.000155,4.742967234,2499.999502,0.001761337,0.256913501,4.513897331,0.0,3.284626252,2.82e-06,2494.078386,4.487269644
30,70,0.864487195,2.039775972,1.655091661,2499.987862,8.689728376,2499.987862,2499.987881,1.002455299,0.975956333,2.357797183,0.0,4.296384311,0.817631918,2510.150059,0.0,2499.98841,2499.988387,0.782106099,14.92489095,2652.693965,3.480785278,3.703193722,0.0,2499.987862,12.61045254,9705.553463,3.168138415,0.001296855,3.035828242,42.40076066,1.090629004,2499.999473,66.54197093,0.447697714,2499.988408,2499.988399,2500,0.070952692,2499.963578,29.77444659,4.684893852,0.0,2.132534286,4.563443333,0.0,0.869588161,1.889024803,0.009967101,500010.3343,0.0,10.53687918,183.7101275,2497.763972,2499.98786,0.449578281,499995.3542,1.149171934,7.832267732,0.000149,4.82352326,2499.999473,0.0018031,0.27700013,4.539147504,0.0,3.363688878,2.64e-06,2493.791416,4.598335032
31,71,0.907202875,2.089572929,1.582125349,2499.987348,8.775950598,2499.987348,2499.987368,0.924668541,0.985634901,2.26301287,0.0,4.396736757,0.752718539,2510.516728,0.0,2499.987926,2499.987902,0.728857016,14.90832406,2659.640862,3.428906773,3.789585683,0.0,2499.987348,12.47947381,9694.109302,3.241439242,0.001324053,3.026609692,42.57618907,1.10129009,2499.999445,66.51194422,0.415057317,2499.987923,2499.987914,2500,0.066324972,2499.962036,29.74441988,4.792075367,0.0,2.221509908,4.671224859,0.0,0.875370412,1.978500915,0.010141385,500010.925,0.0,11.05394543,183.6529052,2497.618633,2499.987346,0.418699674,499995.2181,1.149034983,8.169528689,0.000133,4.90300042,2499.999445,0.001843192,0.29972678,4.549815506,0.0,3.442842976,2.48e-06,2493.493382,4.708781269
32,72,0.948464257,2.135726397,1.509770662,2499.986832,8.851578148,2499.986832,2499.986853,0.855865406,0.994797707,2.160082046,0.0,4.496494339,0.691044251,2510.891385,0.0,2499.98744,2499.987416,0.65342693,14.89232782,2666.744945,3.374069874,3.874604091,0.0,2499.986832,12.34360449,9682.388286,3.315447142,0.001350083,3.011057761,42.73686402,1.112303187,2499.999415,66.48294366,0.385342818,2499.987438,2499.98743,2500,0.061756848,2499.960488,29.71541932,4.898702692,0.0,2.306771203,4.778462279,0.0,0.881301207,2.065205968,0.010298724,500011.5036,0.0,11.57623472,183.5992009,2497.469574,2499.986831,0.390359193,499995.0805,1.148895935,8.531807799,0.000127,4.981626023,2499.999415,0.001881618,0.325098207,4.547050942,0.0,3.522184191,2.31e-06,2493.183921,4.818711191
33,73,0.988318493,2.178507541,1.43876495,2499.986318,8.915702152,2499.986318,2499.986339,0.795243038,1.003923534,2.048422731,0.0,4.566491366,0.636872359,2511.276935,0.0,2499.986956,2499.98693,0.571959025,14.87688366,2673.96444,3.316751616,3.958332195,0.0,2499.986318,12.20200338,9670.391941,3.390684198,0.001374725,2.980525533,42.8839662,1.123704028,2499.999386,66.45493519,0.358586355,2499.986953,2499.98695,2500,0.05726897,2499.95894,29.68741085,5.03420707,0.0,2.388035239,4.885261796,0.0,0.887423012,2.149148899,0.010432201,500012.0907,0.0,12.10422934,183.5487492,2497.316786,2499.986316,0.36449928,499994.9417,1.148755651,8.914999093,0.000124,5.059671127,2499.999386,0.001918077,0.350784386,4.528827702,0.0,3.601856277,2.16e-06,2492.862605,4.928217257
34,74,1.026811759,2.218197121,1.369777807,2499.985805,8.968050296,2499.985805,2499.985827,0.741997328,1.012823622,1.931686352,0.0,4.561657527,0.589509321,2511.668982,0.0,2499.986474,2499.986448,0.494741013,14.86197362,2681.291641,3.25749983,4.040864428,0.0,2499.985805,12.05448882,9658.125997,3.467008817,0.001398059,2.944145248,43.01849325,1.135495867,2499.999356,66.42788591,0.334650654,2499.986471,2499.986475,2500,0.052881599,2499.957394,29.66036157,5.243829331,0.0,2.465113282,4.991691188,0.0,0.893780622,2.229891359,0.010539176,500012.6862,0.0,12.63838631,183.5012928,2497.160272,2499.985804,0.341007237,499994.8021,1.148614813,9.296041161,0.000124,5.137307398,2499.999356,0.001952538,0.381308815,4.497144076,0.0,3.68190667,2.01e-06,2492.5294,5.037355461
35,75,1.063988559,2.255219244,1.303383479,2499.985295,9.009016786,2499.985295,2499.985318,0.695344445,1.021067146,1.812772393,0.0,4.47813435,0.548241259,2512.06845,0.0,2499.985995,2499.985968,0.422142062,14.84758042,2688.722784,3.196871739,4.12229468,0.0,2499.985295,11.90146242,9645.599323,3.544023767,0.001420299,2.902073694,43.14072276,1.147667065,2499.999326,66.40176403,0.313279591,2499.985992,2499.986008,2500,0.048614601,2499.955851,29.6342397,5.531529005,0.0,2.537875079,5.097789196,0.0,0.900397222,2.306901828,0.0106257,500013.2898,0.0,13.17913319,183.4566489,2497.00005,2499.985293,0.319733265,499994.6619,1.148473936,9.673992536,0.00012,5.214586046,2499.999326,0.001985127,0.415512704,4.455867786,0.0,3.762316382,1.88e-06,2492.18458,5.146154753
36,76,1.099891534,2.289807054,1.240047798,2499.984787,9.039041943,2499.984787,2499.984811,0.654538616,1.029091295,1.694085392,0.0,4.33938912,0.512380885,2512.475563,0.0,2499.985519,2499.985491,0.354162376,14.83368733,2696.247669,3.135405087,4.178086548,0.0,2499.984787,11.74326489,9632.823076,3.622090438,0.001441382,2.854454245,43.25162009,1.171696654,2499.999295,66.37653886,0.294219136,2499.985516,2499.985549,2500,0.044486881,2499.954312,29.60901453,5.873916703,0.0,2.606287837,5.20358284,0.0,0.907226598,2.380394145,0.010693372,500013.9051,0.0,13.72686597,183.4146021,2496.83617,2499.984786,0.300503279,499994.4981,1.148333471,10.06857917,0.000124,5.29153677,2499.999295,0.002015974,0.452819498,4.404919248,0.0,3.843056748,1.74e-06,2491.828525,5.254632653
